,theme_id,theme_name,parent_id,set_name,year,num_parts
0,371,Supplemental,365.0,Small Brick Set (ABB),1949,24
1,365,System,,Medium Gift Set (ABB),1949,142
2,371,Supplemental,365.0,Small Doors and Windows Set (ABB),1949,12
3,365,System,,Extra-Large Gift Set (ABB),1949,142
4,365,System,,Large Gift Set (ABB),1949,178
5,371,Supplemental,365.0,Single 2 x 4 Brick (ABB),1950,1
6,371,Supplemental,365.0,Single 2 x 2 Brick (ABB),1950,1
7,371,Supplemental,365.0,Single 1 x 2 x 4 Door without Glass (ABB),1950,1
8,371,Supplemental,365.0,Single 1 x 2 x 2 Window without Glass (ABB),1950,1
9,371,Supplemental,365.0,Single 1 x 2 x 3 Window without Glass (ABB),1950,1
10,371,Supplemental,365.0,Single 1 x 4 x 2 Window without Glass (ABB),1950,1
11,366,Basic Set,365.0,Extra-Large Gift Set (Mursten),1953,0
12,371,Supplemental,365.0,Automatic Binding Bricks - Small Brick Set (Lego Mursten),1953,48
13,371,Supplemental,365.0,Individual 2 x 3 Bricks,1953,1
14,371,Supplemental,365.0,Individual 1 x 2 Bricks,1953,1
15,371,Supplemental,365.0,Individual 1 x 6 x 4 Panorama Window (with glass),1954,1
16,371,Supplemental,365.0,Individual 1 x 4 x 3 Window (with glass),1954,1
17,371,Supplemental,365.0,Individual 1 x 6 x 3 Shutter Window (with glass),1954,1
18,371,Supplemental,365.0,Individual 2 x 10 Bricks,1954,1
19,371,Supplemental,365.0,Individual 2 x 12 Bricks,1954,1
20,371,Supplemental,365.0,Individual 2 x 14 Bricks,1954,1
21,371,Supplemental,365.0,Individual 1 x 3 x 3 Window (with glass),1954,1
22,371,Supplemental,365.0,Individual 1 x 6 x 3 3-Pane Window (with glass),1954,1
23,372,Town Plan,365.0,Gift Package (Lego Mursten),1954,46
24,372,Town Plan,365.0,Gift Package (Lego Mursten),1954,54
25,371,Supplemental,365.0,Individual 2 x 8 Bricks,1954,1
26,371,Supplemental,365.0,Individual 4 x 4 Corner Bricks,1954,1
27,371,Supplemental,365.0,Tall Classic Windows/Door (with Glass),1954,6
28,371,Supplemental,365.0,Individual 1 x 2 x 4 Door (with glass),1954,1
29,371,Supplemental,365.0,8 Danish Named Beams,1955,8
30,371,Supplemental,365.0,Esso Pumps/Sign,1955,2
31,371,Supplemental,365.0,Painted Trees and Bushes,1955,6
32,371,Supplemental,365.0,2 x 2 Bricks,1955,20
33,371,Supplemental,365.0,2 x 3 Bricks,1955,15
34,371,Supplemental,365.0,2 x 4 Bricks,1955,13
35,371,Supplemental,365.0,4 x 4 Corner Bricks,1955,5
36,371,Supplemental,365.0,2 x 8 & 2 x 10 Bricks,1955,5
37,371,Supplemental,365.0,Windows and Doors,1955,6
38,372,Town Plan,365.0,Garage,1955,59
39,372,Town Plan,365.0,Small House - Right Set,1955,23
40,372,Town Plan,365.0,Small House - Left Set,1955,21
41,372,Town Plan,365.0,Small House Set,1955,19
42,372,Town Plan,365.0,Small Store Set,1955,30
43,372,Town Plan,365.0,"LEGO Town Plan Board, Large Plastic",1955,1
44,371,Supplemental,365.0,1 x 1 Bricks,1955,40
45,365,System,,Lego Mosaik Set (Small),1955,47
46,371,Supplemental,365.0,1 x 2 Bricks,1955,26
47,371,Supplemental,365.0,8 Road Signs,1955,8
48,371,Supplemental,365.0,1 x 1 Round Bricks,1955,40
49,371,Supplemental,365.0,2 x 2 & 2 x 4 Curved Bricks,1955,14
50,497,Books,,Lego Mursten - System i Leg Byggebog,1955,0
51,371,Supplemental,365.0,Windows and Door without Glass,1955,6
52,371,Supplemental,365.0,1 x 6 and 1 x 8 Bricks,1955,9
53,371,Supplemental,365.0,Mixed Plates Parts Pack,1955,6
54,371,Supplemental,365.0,8 Road Signs,1955,8
55,371,Supplemental,365.0,8 Named Beams,1955,11
56,371,Supplemental,365.0,Garage Plate and Door,1955,3
57,372,Town Plan,365.0,Garage with Automatic Door (White base and door frame),1956,69
58,371,Supplemental,365.0,6 x 8 & 2 x 8 Plates,1956,4
59,371,Supplemental,365.0,2 x 8 Mursten Bricks (EUR),1956,24
60,371,Supplemental,365.0,4 x 8 & 2 x 8 Plates,1956,5
61,372,Town Plan,365.0,"LEGO Town Plan Board, Small Plastic",1956,1
62,371,Supplemental,365.0,4 x 8 Curved & 2 x 8 Plates,1956,5
63,372,Town Plan,365.0,Traffic Police Set,1956,6
