,root_theme_name,year,num_set_per_year
1050,Technic,1979,12
1051,Homemaker,1979,3
1052,Boat,1978,3
1053,Seasonal,1978,1
1054,Town,1978,34
1055,Train,1978,4
1056,Duplo,1978,5
1057,Building Set with People,1978,4
1058,Castle,1978,1
1059,Homemaker,1978,5
1060,Legoland,1978,3
1061,Service Packs,1978,1
1062,Universal Building Set,1978,5
1063,Technic,1978,9
1064,Gear,1978,1
1065,Hobby Sets,1978,1
1066,Service Packs,1977,44
1067,Seasonal,1977,1
1068,Minitalia,1977,1
1069,Universal Building Set,1977,11
1070,Technic,1977,7
1071,Train,1977,3
1072,Homemaker,1977,3
1073,Duplo,1977,7
1074,Legoland,1977,15
1075,Building Set with People,1977,8
1076,Legoland,1976,31
1077,Minitalia,1976,1
1078,Educational and Dacta,1976,3
1079,Universal Building Set,1976,10
1080,Duplo,1976,7
1081,Train,1976,9
1082,Books,1976,1
1083,Hobby Sets,1976,4
1084,Building Set with People,1976,8
1085,Boat,1976,2
1086,Train,1975,6
1087,Building Set with People,1975,5
1088,Universal Building Set,1975,1
1089,Hobby Sets,1975,3
1090,Legoland,1975,16
1091,Duplo,1975,8
1092,Universal Building Set,1974,7
1093,Homemaker,1974,8
1094,Building Set with People,1974,5
1095,Legoland,1974,12
1096,Train,1974,6
1097,Gear,1974,1
1098,Boat,1974,1
1099,Legoland,1973,25
1100,Books,1973,1
1101,Boat,1973,3
1102,Duplo,1973,2
1103,Minitalia,1973,8
1104,Homemaker,1973,8
1105,Universal Building Set,1973,23
1106,Duplo,1972,1
1107,Universal Building Set,1972,8
1108,Homemaker,1972,1
1109,Train,1972,10
1110,Educational and Dacta,1972,2
1111,Legoland,1972,17
1112,Educational and Dacta,1971,1
1113,Train,1971,1
1114,Universal Building Set,1971,4
1115,Legoland,1971,33
1116,Minitalia,1971,5
1117,System,1971,7
1118,Homemaker,1971,2
1119,Legoland,1970,17
1120,System,1970,4
1121,Duplo,1970,2
1122,Educational and Dacta,1970,1
1123,Universal Building Set,1970,3
1124,Train,1970,6
1125,Minitalia,1970,4
1126,Legoland,1969,5
1127,Educational and Dacta,1969,1
1128,Primo,1969,1
1129,Books,1969,1
1130,Train,1969,25
1131,System,1969,40
1132,Duplo,1969,2
1133,Universal Building Set,1969,4
1134,Promotional,1969,1
1135,Town,1969,1
1136,Primo,1968,1
1137,Books,1968,1
1138,Train,1968,7
1139,System,1968,30
1140,System,1967,21
1141,Books,1967,1
1142,Train,1967,4
1143,Other,1967,1
1144,System,1966,94
1145,Train,1966,12
1146,Gear,1966,1
1147,Primo,1966,1
1148,Books,1966,2
1149,Educational and Dacta,1965,1
1150,System,1965,9
1151,LEGO Brand Store,1965,1
1152,Technic,1965,2
1153,System,1964,15
1154,Books,1964,2
1155,Primo,1964,1
1156,System,1963,11
1157,Modulex,1963,35
1158,Books,1963,4
1159,Educational and Dacta,1963,1
1160,Other,1963,1
1161,Books,1962,2
1162,System,1962,12
1163,Educational and Dacta,1961,1
1164,System,1961,20
1165,Books,1961,1
1166,Books,1960,1
1167,Educational and Dacta,1960,1
1168,System,1960,1
1169,System,1959,4
1170,System,1958,47
1171,System,1957,20
1172,Books,1956,1
1173,System,1956,12
1174,Books,1955,1
1175,System,1955,27
1176,System,1954,14
1177,System,1953,4
1178,System,1950,6
1179,System,1949,5
